model_name,dropout,filtres_1,filtres_2,kernel_1,kernel_2,activation_1,activation_2,activation_3,epochs_effectuees,best_val_loss,best_val_acc,test_loss,test_acc
"conv_16relu-32softmax_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,16,32,"(4, 4)","(3, 3)",relu,softmax,relu,3,2.1163570880889893,0.1863333284854889,2.1223182678222656,0.18780000507831573
"conv_16softmax-32relu_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,16,32,"(4, 4)","(3, 3)",softmax,relu,relu,4,2.2634408473968506,0.19644445180892944,2.2560787200927734,0.11819999665021896
"conv_16relu-32softmax_dropout_0.5softmax_kernel_(4, 4)_(3, 3)",0.5,16,32,"(4, 4)","(3, 3)",relu,softmax,softmax,10,0.0304582417011261,0.9915555715560913,0.027013687416911125,0.991100013256073
"conv_16softmax-32relu_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,16,32,"(4, 4)","(3, 3)",softmax,relu,relu,4,2.2063887119293213,0.36766666173934937,2.215787887573242,0.13680000603199005
"conv_16softmax-32softmax_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,16,32,"(4, 4)","(3, 3)",softmax,softmax,relu,4,2.1953916549682617,0.1455555558204651,2.1840081214904785,0.14949999749660492
"conv_16softmax-32softmax_dropout_0.5softmax_kernel_(4, 4)_(3, 3)",0.5,16,32,"(4, 4)","(3, 3)",softmax,softmax,softmax,14,0.03206712007522583,0.991777777671814,0.026473119854927063,0.9900000095367432
"conv_16relu-32relu_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,16,32,"(5, 5)","(3, 3)",relu,relu,relu,3,2.2266294956207275,0.36622223258018494,2.2535417079925537,0.35580000281333923
"conv_16relu-32relu_dropout_0.5softmax_kernel_(5, 5)_(3, 3)",0.5,16,32,"(5, 5)","(3, 3)",relu,relu,softmax,11,0.037437502294778824,0.9895555377006531,0.03118639811873436,0.9890999794006348
"conv_16relu-32softmax_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,16,32,"(5, 5)","(3, 3)",relu,softmax,relu,3,2.1316263675689697,0.1738888919353485,2.1552772521972656,0.16329999268054962
"conv_16softmax-32relu_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,16,32,"(5, 5)","(3, 3)",softmax,relu,relu,4,2.3025832176208496,0.269777774810791,2.302360773086548,0.09809999912977219
"conv_16relu-32softmax_dropout_0.5softmax_kernel_(5, 5)_(3, 3)",0.5,16,32,"(5, 5)","(3, 3)",relu,softmax,softmax,8,0.03533177450299263,0.9898889064788818,0.030697140842676163,0.9900000095367432
